date,dataset_path,model,train_fraction,test_fraction,threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,top_features
2026-06-23,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-24,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-25,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-26,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-27,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-28,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-29,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-06-30,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-01,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-02,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-03,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-04,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-05,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-06,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-07,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-08,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-09,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-10,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-11,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-12,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-13,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-14,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-15,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-16,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
2026-07-17,data/cybersecurity.csv,RandomForestClassifier,0.7,0.3,0.5,0.965667,0.589474,0.466667,0.52093,2841,39,64,56,"dst_port, src_port, bytes_sent, bytes_received, is_privileged_port"
